HorseID,Rtg,Sire,Pla,RaceDate,Dist,FinishTime,DeclarHorseWt
T280,21,Flying Spur,5,2016-10-16,1400,1.23.26,1016
T405,52,Commands,7,2015-10-14,1000,0.58.38,1109
V334,46,Flying Spur,7,2016-10-16,1600,1.35.78,1166
T280,25,Flying Spur,2,2017-10-14,1600,1.34.84,1056
V258,27,Not A Single Doubt,3,2017-10-14,1600,1.34.86,1161
V020,72,Showcasing,6,2016-10-16,1200,1.09.20,1124
M273,70,Flying Spur,3,2012-10-21,1000,0.57.31,1208
V341,54,More Than Ready,10,2017-10-14,1400,1.24.12,1130
P310,85,Not A Single Doubt,13,2016-10-16,1000,0.57.07,1115
A280,48,Showcasing,4,2017-10-14,1400,1.22.55,1103
T345,55,Commands,2,2015-10-18,1200,1.09.84,1060
T289,38,Showcasing,5,2016-10-19,1000,0.58.32,1087
A024,87,Sebring,2,2017-10-14,1600,1.34.34,1086
A294,73,Commands,6,2017-10-14,1200,1.10.51,1170
V078,88,More Than Ready,10,2017-10-14,1200,0.00.00,1100
V342,85,Swiss Ace,1,2017-10-14,1200,1.08.73,1087
P310,68,Not A Single Doubt,1,2015-10-18,1000,0.56.43,1102
V150,75,Snitzel,8,2017-10-14,1400,1.22.51,1144
V105,55,Showcasing,3,2016-10-19,1650,1.41.01,1034
T341,64,Commands,2,2016-10-19,1200,1.10.40,1079
T345,45,Commands,1,2017-10-18,1200,1.09.61,1081
S078,54,Commands,5,2017-10-18,1650,1.40.89,1061
T429,28,Not A Single Doubt,5,2016-10-23,1200,1.09.89,1163
V324,52,Commands,5,2016-10-23,1200,1.10.16,1200
T405,58,Commands,4,2017-10-18,1200,1.11.20,1107
V258,52,Not A Single Doubt,7,2016-10-23,1400,1.22.89,1138
S397,57,Not A Single Doubt,4,2015-10-22,1200,1.11.18,1137
T341,65,Commands,1,2017-10-18,1200,1.09.98,1084
S078,59,Commands,5,2015-10-22,1650,1.42.99,1017
V002,77,Not A Single Doubt,11,2016-10-23,1200,1.10.48,1117
V385,51,Commands,9,2017-10-22,1000,0.58.59,1032
T211,126,Sebring,1,2016-10-23,1200,1.08.29,1094
M273,50,Flying Spur,1,2011-10-30,1200,1.10.21,1232
T098,72,Duke Of Marmalade,8,2017-10-22,1600,1.35.17,1220
V381,77,Sebring,10,2017-10-22,1600,1.35.76,1139
V011,48,Not A Single Doubt,3,2017-10-22,1400,1.23.46,1105
V324,51,Commands,2,2017-10-22,1400,1.23.28,1208
A002,91,Duke Of Marmalade,4,2017-10-22,1800,1.46.88,1077
T282,37,Snitzel,1,2016-10-26,1650,1.42.42,1048
T436,34,Showcasing,7,2016-10-26,1650,1.42.71,1077
P310,65,Not A Single Doubt,14,2013-11-03,1000,0.58.95,1132
T211,127,Sebring,2,2017-10-22,1200,1.08.20,1089
S078,49,Commands,8,2016-10-26,1650,1.42.35,1044
A337,75,More Than Ready,6,2017-10-22,1200,1.09.46,1156
T375,94,Not A Single Doubt,5,2016-10-26,1650,1.41.05,1008
S397,71,Not A Single Doubt,12,2016-10-26,1000,0.58.74,1167
T375,82,Not A Single Doubt,5,2015-10-25,1400,1.22.56,1008
T280,20,Flying Spur,5,2016-10-30,1650,1.42.63,1005
M273,71,Flying Spur,6,2012-11-07,1000,0.57.91,1225
M273,48,Flying Spur,3,2014-11-09,1000,0.57.07,1237
S397,52,Not A Single Doubt,4,2014-11-09,1000,0.57.20,1138
T282,53,Snitzel,6,2017-10-25,1650,1.41.18,1068
V163,48,Sebring,12,2016-10-30,1650,1.43.92,1094
A154,73,Makfi,1,2017-10-25,1650,1.40.35,1008
V150,73,Snitzel,8,2017-10-25,1650,1.40.96,1142
S419,71,Commands,5,2017-10-25,1200,1.10.07,1080
